# Strain, f_max, p, Sigma, DeltaPhi, num_broken
5.000000000000000240e-05,2.000000000000000096e-04,0.000000000000000000e+00,2.940356379182231095e+01,3.456883945578158502e-05,0.000000000000000000e+00
1.500000000000000140e-04,2.000000000000000096e-04,0.000000000000000000e+00,8.819699058750370568e+01,1.037348661118652041e-04,0.000000000000000000e+00
3.499999999999999964e-04,2.000000000000000096e-04,0.000000000000000000e+00,2.057187138511714579e+02,2.422596668832288820e-04,0.000000000000000000e+00
7.500000000000000156e-04,2.000288284582573892e-04,0.000000000000000000e+00,4.404940576254255689e+02,5.213391048772941360e-04,0.000000000000000000e+00
1.250000000000000026e-03,2.009495238848920003e-04,7.739562036089250906e-04,7.028776753678347404e+02,1.982182465332288628e-03,0.000000000000000000e+00
1.750000000000000253e-03,2.052959452728478221e-04,8.271362879340240365e-03,8.410423040522068732e+02,7.355689093014316192e-03,0.000000000000000000e+00
2.250000000000000264e-03,2.148014551395943130e-04,2.074926858937529636e-02,9.065157587926087217e+02,1.496412913581261946e-02,0.000000000000000000e+00
2.750000000000000274e-03,2.266100399416401921e-04,3.497324696528459481e-02,9.466478179996147446e+02,2.335134902598936385e-02,0.000000000000000000e+00
3.250000000000000284e-03,2.409846510455453778e-04,5.069774785433147496e-02,9.707436059849342200e+02,3.239248881219993631e-02,0.000000000000000000e+00
3.749999999999999861e-03,2.587569122771035918e-04,6.797039065546822689e-02,9.830038083978877239e+02,4.205634507295673286e-02,0.000000000000000000e+00
4.249999999999999438e-03,2.809980633262876499e-04,8.680556307093846569e-02,9.864602959203314185e+02,5.228296167599852384e-02,0.000000000000000000e+00
4.749999999999999015e-03,3.089805529498976613e-04,1.071541402786490849e-01,9.835294963369713059e+02,6.298142965011754857e-02,0.000000000000000000e+00
5.249999999999999459e-03,3.442618895537804657e-04,1.289422574236255004e-01,9.760971696098714574e+02,7.406349521768222643e-02,0.000000000000000000e+00
5.749999999999999035e-03,3.887918978029089329e-04,1.520866709906412428e-01,9.655631955796736747e+02,8.545489936264578923e-02,0.000000000000000000e+00
6.249999999999998612e-03,4.450736411061060140e-04,1.765068942788821371e-01,9.529219833612276034e+02,9.709895202364786371e-02,0.000000000000000000e+00
