DeltaPhi [mm],Contrainte [Mpa]
0,43.9343888901655
0.004,19.799764484617
0.004,55.0644335329193
0.004,89.2160983661704
0.00600000000000001,123.836396771745
0.00600000000000001,162.674396497483
0.00600000000000001,203.152614141728
0.0069999999999999,231.036305464369
0.0069999999999999,266.47671324457
0.0069999999999999,304.846079397985
0.00800000000000001,332.671192250991
0.00800000000000001,383.517924463746
0.012,434.540394577653
0.014,494.994113776918
0.014,552.460294471839
0.016,617.131714991268
0.018,701.720057765335
0.0189999999999999,765.864265412057
0.0229999999999999,831.882722401821
0.0249999999999999,866.854682697046
0.0269999999999999,900.479171210462
0.032,931.701969883426
0.042,954.723633272772
0.052,964.798933993976
0.0740000000000001,969.075620019104
0.105,958.765217871111
0.113,939.492716104027
0.123,936.330061928102
0.132,928.948874023427
0.145,917.056729413926
0.162,901.650524608953
0.174,887.885045308958
0.19,864.980517259461
0.212,837.975421568155
0.231,813.020510008103
0.248,789.354519174877
0.265,773.596718109273
0.28,754.617062168535
0.291,736.047460499737
0.312,697.326619374767
0.36,651.986329767631
