# Strain, f_max, p, Sigma, DeltaPhi, num_broken
5.000000000000000240e-05,4.000000000000000083e-03,0.000000000000000000e+00,2.958760997099331291e+01,3.414890346432714697e-05,0.000000000000000000e+00
1.500000000000000140e-04,4.000000000000000083e-03,0.000000000000000000e+00,8.874823656451960119e+01,1.024812486990128100e-04,0.000000000000000000e+00
3.499999999999999964e-04,4.000000000000000083e-03,0.000000000000000000e+00,2.070111318136129626e+02,2.392840598979039464e-04,0.000000000000000000e+00
7.500000000000000156e-04,4.000902350779819011e-03,0.000000000000000000e+00,4.432597364834497853e+02,5.147914269970657554e-04,0.000000000000000000e+00
1.250000000000000026e-03,4.082655656935794963e-03,4.879312691854472382e-03,6.446927105023845570e+02,4.569482089763436845e-03,0.000000000000000000e+00
1.750000000000000253e-03,4.427003161784501262e-03,2.216089955734782541e-02,6.812688616504251513e+02,1.405330217238474205e-02,0.000000000000000000e+00
2.250000000000000264e-03,4.797047255986801664e-03,3.946997726761228287e-02,7.061370677245016623e+02,2.351905969319460082e-02,0.000000000000000000e+00
2.750000000000000274e-03,5.194645046450899889e-03,5.660579579664865718e-02,7.255594593195276047e+02,3.295656850798712317e-02,0.000000000000000000e+00
3.250000000000000284e-03,5.630697014214184129e-03,7.346264876245592323e-02,7.407468744634260247e+02,4.236018505921153310e-02,0.000000000000000000e+00
3.749999999999999861e-03,6.124550865807607339e-03,9.014151255427831078e-02,7.524966917271552802e+02,5.175204032144473804e-02,0.000000000000000000e+00
4.249999999999999438e-03,6.703372005783321715e-03,1.068310736294048463e-01,7.613368264703605064e+02,6.117413116805427847e-02,0.000000000000000000e+00
4.749999999999999015e-03,7.398017448041833456e-03,1.236455342923005601e-01,7.676027182473169432e+02,7.065487138396450706e-02,0.000000000000000000e+00
5.249999999999999459e-03,8.245975746851251856e-03,1.406907540118222111e-01,7.715642710946812031e+02,8.021622626876946660e-02,0.000000000000000000e+00
5.749999999999999035e-03,9.294668230933680886e-03,1.580989125784986182e-01,7.734420994582619642e+02,8.988321026981135886e-02,0.000000000000000000e+00
6.249999999999998612e-03,1.060235383480251543e-02,1.760079917078467560e-01,7.733968822555236784e+02,9.967846685212045088e-02,0.000000000000000000e+00
6.374999999999998723e-03,1.096432470325811939e-02,1.805524711844883889e-01,7.731079107238936103e+02,1.021431585073223486e-01,0.000000000000000000e+00
